region_key,scenario,cluster,is_extreme,total_houses,num_contractors,contractor_ratio,minor_count,moderate_count,major_count,seed
SCN_major_dominant_std_40_42,major_dominant,major_dominant,False,23965,4021,0.16776586736128576,4361,5939,13665,283086056
SCN_major_dominant_std_41_42,major_dominant,major_dominant,False,48310,5796,0.11997756516600577,6460,13582,28268,1247938414
SCN_major_dominant_std_42_42,major_dominant,major_dominant,False,51298,5765,0.11237538036503447,9868,15155,26275,281444377
SCN_major_dominant_std_43_42,major_dominant,major_dominant,False,16610,2762,0.16628642127635826,3694,3881,9035,1049226247
SCN_major_dominant_std_44_42,major_dominant,major_dominant,False,34958,5437,0.15551980423268247,8692,8361,17905,53385350
SCN_major_dominant_std_45_42,major_dominant,major_dominant,False,47442,9328,0.19662319121431818,10155,10134,27153,900041146
SCN_major_dominant_std_46_42,major_dominant,major_dominant,False,31604,5641,0.17847634492521874,8445,6627,16532,1003694346
SCN_major_dominant_std_47_42,major_dominant,major_dominant,False,22525,2777,0.12326407419664337,4642,6511,11372,1711151666
SCN_major_dominant_std_48_42,major_dominant,major_dominant,False,15944,2273,0.142588208637351,3318,3558,9068,803554114
SCN_major_dominant_std_49_42,major_dominant,major_dominant,False,36551,4520,0.12366623629975812,8271,7573,20707,532231408
SCN_major_dominant_ext_50_42,major_dominant,major_dominant,True,54082,4954,0.09161035646295163,1338,9200,43544,142934056
SCN_major_dominant_ext_51_42,major_dominant,major_dominant,True,56169,6430,0.11446793307412151,8490,16116,31563,308962622
SCN_major_dominant_ext_52_42,major_dominant,major_dominant,True,32783,1688,0.051480361143550805,5086,4132,23565,248013022
SCN_major_dominant_ext_53_42,major_dominant,major_dominant,True,31463,3072,0.09765001687596545,3555,5879,22029,1269471677
SCN_major_dominant_ext_54_42,major_dominant,major_dominant,True,46801,5128,0.10957921387755441,5983,7995,32823,1879058804
SCN_major_dominant_ext_55_42,major_dominant,major_dominant,True,42128,3334,0.07913836979922347,4059,4065,34004,1226712777
SCN_major_dominant_ext_56_42,major_dominant,major_dominant,True,15337,1760,0.11473893083126434,591,636,14110,111587258
SCN_major_dominant_ext_57_42,major_dominant,major_dominant,True,21994,2334,0.10614181161915155,12,4271,17711,2103612017
SCN_major_dominant_ext_58_42,major_dominant,major_dominant,True,46952,4109,0.0875247625163346,6833,7560,32559,288948666
SCN_major_dominant_ext_59_42,major_dominant,major_dominant,True,49207,4663,0.09476942898659771,9114,17809,22284,826973395
SCN_balanced_std_00_42,balanced,balanced,False,14935,2140,0.14325699405288736,5670,5079,4186,895263101
SCN_balanced_std_01_42,balanced,balanced,False,26224,4945,0.18857433454559455,7611,9958,8655,814892905
SCN_balanced_std_02_42,balanced,balanced,False,43876,6706,0.15283612050046888,13495,15783,14598,1032747280
SCN_balanced_std_03_42,balanced,balanced,False,16499,2859,0.17327222760657401,5339,5970,5190,1727418296
SCN_balanced_std_04_42,balanced,balanced,False,9476,1796,0.1894798128818498,3201,2822,3453,434660553
SCN_balanced_std_05_42,balanced,balanced,False,34119,4383,0.12844932188235203,10606,12025,11488,1558462443
SCN_balanced_std_06_42,balanced,balanced,False,15114,2711,0.1793682004466354,4719,5574,4821,1719885671
SCN_balanced_std_07_42,balanced,balanced,False,11784,2109,0.17900758953583093,4501,3719,3564,544136608
SCN_balanced_std_08_42,balanced,balanced,False,8329,1388,0.16659851529812272,2528,2764,3037,1229285167
SCN_balanced_std_09_42,balanced,balanced,False,29744,5353,0.17995934415226122,10154,9598,9992,1056890982
SCN_balanced_std_10_42,balanced,balanced,False,38292,7114,0.18578632850405277,12932,14456,10904,188353668
SCN_balanced_std_11_42,balanced,balanced,False,38683,8117,0.20983665473615357,13858,11386,13439,716481629
SCN_balanced_std_12_42,balanced,balanced,False,30352,4121,0.13576116486249995,10759,10495,9098,675254715
SCN_balanced_std_13_42,balanced,balanced,False,38975,7521,0.1929685708677378,13672,14235,11068,823173050
SCN_balanced_std_14_42,balanced,balanced,False,33732,5317,0.15763594734808262,11069,10600,12063,1029438299
SCN_balanced_std_15_42,balanced,balanced,False,25800,5290,0.20505336791907827,9048,8383,8369,254430806
SCN_balanced_std_16_42,balanced,balanced,False,9359,1135,0.12123026858886028,3182,2396,3781,1473380724
SCN_balanced_std_17_42,balanced,balanced,False,48670,7993,0.16423141270678931,20355,13794,14521,984724506
SCN_balanced_std_18_42,balanced,balanced,False,30886,6786,0.2197034657837573,10522,10328,10036,237486803
SCN_balanced_std_19_42,balanced,balanced,False,9815,2158,0.21991047304742387,3353,3049,3413,228534204
SCN_balanced_std_20_42,balanced,balanced,False,36591,4497,0.12289995032044694,11364,12163,13064,1926364554
SCN_balanced_std_21_42,balanced,balanced,False,41951,8854,0.21106382271308852,13451,13925,14575,425640336
SCN_balanced_std_22_42,balanced,balanced,False,14565,2630,0.18059251776477278,5227,4626,4712,110934531
SCN_balanced_std_23_42,balanced,balanced,False,18285,3659,0.20009638536416763,6623,6222,5440,122904655
SCN_balanced_std_24_42,balanced,balanced,False,42432,5262,0.12401512995470663,13406,13786,15240,1799548815
SCN_balanced_std_25_42,balanced,balanced,False,11613,1574,0.13552129924410908,3496,4344,3773,1827790118
SCN_balanced_std_26_42,balanced,balanced,False,12199,2660,0.2180204784898682,3845,4032,4322,1524508728
SCN_balanced_std_27_42,balanced,balanced,False,8183,1705,0.20841457113668171,2536,3079,2568,90947116
SCN_balanced_std_28_42,balanced,balanced,False,40351,8797,0.21800271795541926,11455,15765,13131,394134607
SCN_balanced_std_29_42,balanced,balanced,False,44653,6006,0.13451302546650495,14250,15762,14641,1229247878
SCN_balanced_std_30_42,balanced,balanced,False,30577,5654,0.1849233155245309,12256,9868,8453,1502757397
SCN_balanced_std_31_42,balanced,balanced,False,37017,6197,0.1674168729482618,13498,12121,11398,867657246
SCN_balanced_std_32_42,balanced,balanced,False,11923,1941,0.16279032136813498,4618,3633,3672,654348153
SCN_balanced_std_33_42,balanced,balanced,False,14444,2048,0.14176285266969618,4980,4636,4828,877855042
SCN_balanced_std_34_42,balanced,balanced,False,20544,3439,0.16741326750901703,6184,6863,7497,898507252
SCN_balanced_std_35_42,balanced,balanced,False,32768,6055,0.18479484822012102,12348,9368,11052,1507538203
SCN_balanced_std_36_42,balanced,balanced,False,22393,3653,0.163141819517989,7638,7799,6956,1179278583
SCN_balanced_std_37_42,balanced,balanced,False,41949,8752,0.20864028867237078,12823,16353,12773,1582063418
SCN_balanced_std_38_42,balanced,balanced,False,19288,2921,0.15144506917442013,6908,6233,6147,1717708626
SCN_balanced_std_39_42,balanced,balanced,False,42520,6296,0.1480611436133656,12557,14637,15326,119331192
SCN_balanced_std_40_42,balanced,balanced,False,10794,1311,0.12146828435600707,3706,3287,3801,1594920141
SCN_balanced_std_41_42,balanced,balanced,False,37786,6805,0.1800840407945081,10751,11157,15878,329881188
SCN_balanced_std_42_42,balanced,balanced,False,11217,2212,0.19721048913545855,3927,2966,4324,2137743676
SCN_balanced_std_43_42,balanced,balanced,False,39630,7295,0.18408886345861594,13480,14795,11355,832883697
SCN_balanced_std_44_42,balanced,balanced,False,27602,3770,0.13659068678765335,8915,9580,9107,351653247
SCN_balanced_std_45_42,balanced,balanced,False,16420,3597,0.21903216643262727,5811,6108,4501,1801888525
SCN_balanced_std_46_42,balanced,balanced,False,21801,4263,0.19553301727947445,7029,8167,6605,171904527
SCN_balanced_std_47_42,balanced,balanced,False,20866,4397,0.2107103622156215,6906,7740,6220,388537026
SCN_balanced_std_48_42,balanced,balanced,False,16164,2888,0.1786445173014796,5900,4406,5858,1052691206
SCN_balanced_std_49_42,balanced,balanced,False,43305,7958,0.1837588700478459,13133,16054,14118,1811592260
SCN_balanced_ext_50_42,balanced,balanced,True,10440,1535,0.1469877608358486,2611,2456,5373,1597013353
SCN_balanced_ext_51_42,balanced,balanced,True,30317,7547,0.24892325854504552,7788,6984,15545,1650615178
SCN_balanced_ext_52_42,balanced,balanced,True,43712,6186,0.1415240670742201,24574,10531,8607,1251805187
SCN_balanced_ext_53_42,balanced,balanced,True,49925,10109,0.20247477047659593,25867,9862,14196,1969967650
SCN_balanced_ext_54_42,balanced,balanced,True,9042,2394,0.26476669628584565,3658,2753,2631,1483481621
SCN_balanced_ext_55_42,balanced,balanced,True,25452,5539,0.21763702779676747,15559,3233,6660,597047927
SCN_balanced_ext_56_42,balanced,balanced,True,28055,6450,0.22990083826864163,6556,2809,18690,1397761348
SCN_balanced_ext_57_42,balanced,balanced,True,27351,2570,0.09396185494856382,1556,5854,19941,1861441913
SCN_balanced_ext_58_42,balanced,balanced,True,35472,9707,0.2736611745081696,15788,5142,14542,230324149
SCN_balanced_ext_59_42,balanced,balanced,True,20506,4783,0.23324205678112753,5736,8506,6264,87932927
SCN_minor_dominant_std_00_42,minor_dominant,minor_dominant,False,30865,3740,0.12115760021940598,15992,10048,4825,2100060720
SCN_minor_dominant_std_01_42,minor_dominant,minor_dominant,False,43344,7476,0.17247016672198887,22775,15171,5398,1722410276
SCN_minor_dominant_std_02_42,minor_dominant,minor_dominant,False,67283,6118,0.0909282291114558,39815,21805,5663,104579172
SCN_minor_dominant_std_03_42,minor_dominant,minor_dominant,False,12471,1920,0.15394314684765098,7190,3124,2157,1858553784
SCN_minor_dominant_std_04_42,minor_dominant,minor_dominant,False,17910,2970,0.16581253046248232,10222,5472,2216,1335515298
SCN_minor_dominant_std_05_42,minor_dominant,minor_dominant,False,42775,5139,0.1201355557553388,23886,13464,5425,63581168
SCN_minor_dominant_std_06_42,minor_dominant,minor_dominant,False,36070,4141,0.11480314234095143,19314,12833,3923,1831333530
SCN_minor_dominant_std_07_42,minor_dominant,minor_dominant,False,38040,4089,0.1074825050755067,24597,10707,2736,852422304
SCN_minor_dominant_std_08_42,minor_dominant,minor_dominant,False,51151,7763,0.15176391476415674,28572,13457,9122,734282508
SCN_minor_dominant_std_09_42,minor_dominant,minor_dominant,False,56967,5337,0.09368212780296263,29478,19488,8001,876048668
SCN_minor_dominant_std_10_42,minor_dominant,minor_dominant,False,40756,5286,0.12969165961303494,24345,9777,6634,1965589119
SCN_minor_dominant_std_11_42,minor_dominant,minor_dominant,False,32350,2645,0.08176687809999122,17297,11681,3372,433746680
SCN_minor_dominant_std_12_42,minor_dominant,minor_dominant,False,38083,6700,0.17592092728445757,19221,11457,7405,902762979
SCN_minor_dominant_std_13_42,minor_dominant,minor_dominant,False,32109,3324,0.10350971168806594,18575,8924,4610,1926285956
SCN_minor_dominant_std_14_42,minor_dominant,minor_dominant,False,69072,9606,0.1390744794163766,35905,23618,9549,1594115656
SCN_minor_dominant_std_15_42,minor_dominant,minor_dominant,False,29382,2807,0.09554415640834225,17727,8579,3076,692547041
SCN_minor_dominant_std_16_42,minor_dominant,minor_dominant,False,45931,5688,0.12383862585841929,26285,12904,6742,1683249456
SCN_minor_dominant_std_17_42,minor_dominant,minor_dominant,False,26828,4568,0.17025539692192318,14633,8909,3286,1749422734
SCN_minor_dominant_std_18_42,minor_dominant,minor_dominant,False,30528,4435,0.14529221265639983,16340,8616,5572,218816036
SCN_minor_dominant_std_19_42,minor_dominant,minor_dominant,False,20100,3537,0.17597745223292202,10869,6373,2858,76971722
SCN_minor_dominant_std_20_42,minor_dominant,minor_dominant,False,45184,5671,0.12551178424117623,27713,14405,3066,140725534
SCN_minor_dominant_std_21_42,minor_dominant,minor_dominant,False,61416,7275,0.11845043779899281,32420,20609,8387,239659965
SCN_minor_dominant_std_22_42,minor_dominant,minor_dominant,False,68675,8201,0.11941257771780975,42062,18543,8070,648693753
SCN_minor_dominant_std_23_42,minor_dominant,minor_dominant,False,36057,2889,0.08012330625119081,19712,10250,6095,1852772791
SCN_minor_dominant_std_24_42,minor_dominant,minor_dominant,False,35788,5657,0.15805811375265844,22015,10218,3555,926267722
SCN_minor_dominant_std_25_42,minor_dominant,minor_dominant,False,46653,5971,0.1279863400551065,23742,13811,9100,520727961
SCN_minor_dominant_std_26_42,minor_dominant,minor_dominant,False,26318,2233,0.08485692898469581,13074,9134,4110,1997985751
SCN_minor_dominant_std_27_42,minor_dominant,minor_dominant,False,47009,4410,0.09382053716385308,24347,15321,7341,101734932
SCN_minor_dominant_std_28_42,minor_dominant,minor_dominant,False,59361,5406,0.09106294675622033,31766,17342,10253,67180831
SCN_minor_dominant_std_29_42,minor_dominant,minor_dominant,False,25381,4186,0.1649435333089779,11705,8651,5025,1267434932
SCN_minor_dominant_std_30_42,minor_dominant,minor_dominant,False,38554,6064,0.1572937388135284,19187,11681,7686,349488974
SCN_minor_dominant_std_31_42,minor_dominant,minor_dominant,False,44302,6217,0.14034244543333216,23913,13971,6418,975939899
SCN_minor_dominant_std_32_42,minor_dominant,minor_dominant,False,20612,3296,0.1599213522241491,11859,6593,2160,683756898
SCN_minor_dominant_std_33_42,minor_dominant,minor_dominant,False,48871,4291,0.08781083930803639,25381,15647,7843,682117330
SCN_minor_dominant_std_34_42,minor_dominant,minor_dominant,False,52722,8041,0.15251833208508686,31424,12748,8550,355382252
SCN_minor_dominant_std_35_42,minor_dominant,minor_dominant,False,19202,2676,0.13938305480284477,9954,5953,3295,1911302229
SCN_minor_dominant_std_36_42,minor_dominant,minor_dominant,False,15493,2025,0.13072927015820432,8839,4948,1706,371394275
SCN_minor_dominant_std_37_42,minor_dominant,minor_dominant,False,44095,6106,0.13846388341341656,23290,13937,6868,2132632899
SCN_minor_dominant_std_38_42,minor_dominant,minor_dominant,False,36073,5129,0.14217920298607564,19618,11046,5409,1151481618
SCN_minor_dominant_std_39_42,minor_dominant,minor_dominant,False,19657,2877,0.1463621046660352,11697,5810,2150,632981957
SCN_minor_dominant_std_40_42,minor_dominant,minor_dominant,False,21063,3526,0.16738884979038013,10462,6451,4150,496671176
SCN_minor_dominant_std_41_42,minor_dominant,minor_dominant,False,42465,6275,0.1477620763599794,25337,12229,4899,850761080
SCN_minor_dominant_std_42_42,minor_dominant,minor_dominant,False,53622,6538,0.12192723879008051,29584,16920,7118,2111872088
SCN_minor_dominant_std_43_42,minor_dominant,minor_dominant,False,32789,3961,0.12079614303605651,18741,9792,4256,1117185561
SCN_minor_dominant_std_44_42,minor_dominant,minor_dominant,False,21280,2020,0.09493741563681508,11500,6846,2934,1465832819
SCN_minor_dominant_std_45_42,minor_dominant,minor_dominant,False,65355,11193,0.1712582744141931,33209,18484,13662,1844651645
SCN_minor_dominant_std_46_42,minor_dominant,minor_dominant,False,49377,5822,0.11790526950373052,31298,13385,4694,1886276049
SCN_minor_dominant_std_47_42,minor_dominant,minor_dominant,False,42969,5886,0.13699338186415264,25008,15985,1976,1681394075
SCN_minor_dominant_std_48_42,minor_dominant,minor_dominant,False,61950,5575,0.08998624771607296,34387,19398,8165,1713901191
SCN_minor_dominant_std_49_42,minor_dominant,minor_dominant,False,24200,2849,0.11771446803556807,13151,8091,2958,2102868887
SCN_minor_dominant_ext_50_42,minor_dominant,minor_dominant,True,48346,3510,0.07261187902287727,38962,5963,3421,685331800
SCN_minor_dominant_ext_51_42,minor_dominant,minor_dominant,True,45396,2848,0.06273481796386175,34288,4964,6144,2008716194
SCN_minor_dominant_ext_52_42,minor_dominant,minor_dominant,True,56598,2343,0.04140100503881884,42730,8646,5222,281553773
SCN_minor_dominant_ext_53_42,minor_dominant,minor_dominant,True,54181,2001,0.03692471535733756,45992,1859,6330,523120026
SCN_minor_dominant_ext_54_42,minor_dominant,minor_dominant,True,39727,1708,0.043003629440976104,30602,7508,1617,433980893
SCN_minor_dominant_ext_55_42,minor_dominant,minor_dominant,True,19422,1237,0.06370439382283966,14615,2952,1855,97008529
SCN_minor_dominant_ext_56_42,minor_dominant,minor_dominant,True,63250,3015,0.04767054033847111,53993,9227,30,237709418
SCN_minor_dominant_ext_57_42,minor_dominant,minor_dominant,True,56815,5620,0.0989198025775528,41281,10288,5246,1936261135
SCN_minor_dominant_ext_58_42,minor_dominant,minor_dominant,True,35787,1836,0.05131265685332231,31510,3826,451,295909364
SCN_minor_dominant_ext_59_42,minor_dominant,minor_dominant,True,55092,3744,0.06796550816115435,50684,2204,2204,1324473808
